     1      2      3      4      5      x      y
-70.00 -88.00 -65.50 -50.25 -66.00      0      0
-72.75 -78.00 -68.00 -49.50 -61.75      0    2.5
-72.00 -77.67 -71.00 -57.25 -61.75      0      5
-69.67 -82.00 -68.50 -62.25 -61.50    3.9      0
-62.00 -84.33 -70.00 -64.75 -59.75      5    3.2
-59.50 -76.50 -57.50 -70.75 -62.33    5.7      5
-69.25   0.00 -57.00 -70.33 -59.00    8.7      0
-63.00 -73.00 -54.75 -63.00 -57.25    8.7    2.5
-53.75   0.00 -56.25 -69.00 -58.00    8.7      5
-65.75 -75.00 -59.00 -68.50 -57.50   11.5    1.3
-53.00 -83.33 -64.50 -74.67 -62.00   14.7      5
-59.75 -81.50 -63.50 -71.00 -55.00   16.3      0
-54.75 -79.00 -61.00 -70.50 -55.00   16.3    2.8
-57.50 -84.67 -63.00 -71.00 -56.75   16.3      5
-64.75 -75.67 -60.00 -75.00 -56.00   19.3    1.6
-60.50 -81.00 -62.00 -73.00 -59.75   21.3      5
-74.00 -72.50 -66.50 -74.25 -59.25     25      0
-65.75 -79.50 -62.00 -73.33 -66.50     25    2.4
-60.00 -78.00 -57.75 -72.67 -71.00     25      5
-62.00 -62.50 -59.50 -70.00 -78.00   27.2      0
-64.75 -65.75 -66.00 -70.67 -74.25     30      2
-61.25 -67.00 -70.75 -75.67 -59.00   33.7      0
-59.25 -55.75 -82.50 -73.50 -58.50     39      0
-73.00 -64.75 -85.33 -71.33   0.00   37.2    3.5
-80.50 -70.25 -80.25   0.00   0.00   42.5      0
-82.00 -64.50 -84.75 -71.00   0.00   39.0   -7.7
-79.00 -76.25 -81.00 -70.67 -62.00   35.5   -7.7
-75.75 -70.25 -82.50 -71.00 -59.50   35.5   -3.1
-78.25 -74.50 -64.00 -74.00 -61.00   35.5  -12.2
