1,2,3,4,5,x,y
-73.00,0.00,-64.00,-56.50,-63.00,0,0
-69.50,-77.00,-74.00,-49.50,-61.00,0,2.5
-70.00,-76.00,-73.50,-58.50,-60.50,0,5
-81.00,-86.00,-62.50,-60.50,-60.50,0,3.9
-62.50,-85.50,-66.00,-65.50,-59.50,5,3.2
-57.50,-76.50,-55.50,-71.00,-62.00,5.7,5
-67.00,0.00,-58.50,-70.50,-57.50,8.7,0
-63.50,-72.00,-55.00,-63.00,-58.50,8.7,2.5
-53.00,0.00,-57.00,-68.50,-58.50,8.7,5
-65.00,-73.00,-61.50,-69.00,-57.50,11.5,1.3
-51.00,-83.00,-62.50,-81.00,-61.00,14.7,5
-61.50,-80.00,-64.50,-67.00,-55.00,16.3,0
-57.50,-77.00,-59.00,-70.00,-55.00,16.3,2.8
-57.00,-89.00,-61.50,-71.00,-57.00,16.3,5
-69.00,-74.00,-60.50,0.00,-56.50,19.3,1.6
-61.00,0.00,-65.00,-76.00,-61.00,21.3,5
-72.50,-72.00,-67.50,-75.00,-60.00,25,0
-61.50,-82.00,-57.50,-73.50,-69.00,25,2.4
-58.00,-75.50,-56.50,-71.00,-72.50,25,5
-64.50,-67.00,-61.50,-69.00,-79.00,27.2,0
-61.50,-64.50,-63.50,-71.50,-73.00,30,2
-61.50,-68.00,-72.50,-76.00,-59.00,33.7,0
-60.00,-54.00,-82.00,0.00,-59.00,39,0
-82.00,-64.50,-84.50,-73.00,0.00,37.2,3.5
-85.00,-68.50,-82.50,0.00,0.00,42.5,0
-81.00,-64.00,-89.00,-73.00,0.00,39.0,-7.7
-80.50,-72.00,-81.00,-70.00,-63.50,35.5,-7.7
-76.00,-67.50,-79.50,-71.00,-59.00,35.5,-3.1
-76.50,-74.00,-67.00,0.00,-62.00,35.5,-12.2
